number,title,state,labels,milestone,user,assignee,assignees,created_at,updated_at,closed_at,body
40,remove python codeQL,closed,,,Kokahontas13,,,2025-07-09T22:18:12Z,2025-07-09T22:19:22Z,2025-07-09T22:19:22Z,
39,Fix workflow main branch,closed,,,Kokahontas13,,,2025-07-07T23:53:45Z,2025-07-07T23:56:44Z,2025-07-07T23:56:14Z,
38,Animation fixes,closed,"bug,enhancement",,K3NOXOFFICIAL,Kokahontas13,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T15:46:27Z,2025-07-07T17:47:20Z,2025-07-07T17:47:20Z,
37,[BUG] Choosing Path Should Be saved in Backend,open,"bug,help wanted,needs testing",,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T02:14:22Z,2025-07-07T16:43:30Z,,"<img width=""896"" height=""888"" alt=""Image"" src=""https://github.com/user-attachments/assets/16c6f8ba-3f17-4021-9bbe-417483f742a9"" />

<img width=""892"" height=""616"" alt=""Image"" src=""https://github.com/user-attachments/assets/beac40ac-de39-493b-a4e5-1cee0303c747"" />"
36,[BUG] Login & Signup | Google SAO needs to be Styled correctly,open,"bug,needs testing",,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T02:13:20Z,2025-07-07T16:45:21Z,,"<img width=""452"" height=""495"" alt=""Image"" src=""https://github.com/user-attachments/assets/6ac5a218-6623-49c0-b55c-e1f0e53bcdd3"" />

<img width=""893"" height=""692"" alt=""Image"" src=""https://github.com/user-attachments/assets/add329fb-b892-44dd-93b3-9295cb699bea"" />"
35,[BUG] Change all Information to European Laws,open,"bug,needs testing",,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T02:10:42Z,2025-07-07T17:03:27Z,,"<img width=""1172"" height=""265"" alt=""Image"" src=""https://github.com/user-attachments/assets/2dbdb2db-1097-4a2e-8335-ac965c22bc03"" />"
34,Update issue templates,closed,,,K3NOXOFFICIAL,K3NOXOFFICIAL,K3NOXOFFICIAL,2025-07-07T02:04:25Z,2025-07-07T02:07:40Z,2025-07-07T02:07:40Z,
33,[BUG] Side Bar shouldn't Scroll with the Page,open,"bug,help wanted,needs testing",,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T02:03:06Z,2025-07-07T16:49:10Z,,"<img width=""249"" height=""635"" alt=""Image"" src=""https://github.com/user-attachments/assets/d285d029-252e-4ef9-9fb4-eb861b8898ff"" />"
32,[BUG] Dashboard Showing Settings Icon,open,bug,,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T02:01:50Z,2025-07-07T16:55:22Z,,"<img width=""228"" height=""146"" alt=""Image"" src=""https://github.com/user-attachments/assets/14a208de-86cd-470b-8a71-98467b80c44b"" />"
31,[BUG] Remove Invoices Tab,open,"bug,needs testing",,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T02:00:17Z,2025-07-07T16:51:02Z,,"<img width=""1146"" height=""330"" alt=""Image"" src=""https://github.com/user-attachments/assets/a3025217-03e1-4406-beb1-0d4fdedac237"" />"
30,[BUG] Buttons stay on Billing & Subscriptions even when on Payment Methods / Transaction History,open,"bug,help wanted",,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T01:59:45Z,2025-07-07T01:59:45Z,,"<img width=""241"" height=""164"" alt=""Image"" src=""https://github.com/user-attachments/assets/df524d20-8ec8-4031-820f-138fb929b5c5"" />"
29,[BUG] Billing & Subscriptions Showing Mock Data,open,bug,,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T01:58:05Z,2025-07-07T02:14:44Z,,"<img width=""1629"" height=""621"" alt=""Image"" src=""https://github.com/user-attachments/assets/8c5d0177-1267-4aed-9d42-639abe6ef903"" />"
28,[Feature] Bookmarks not yet Implemented,open,enhancement,,K3NOXOFFICIAL,K3NOXOFFICIAL,K3NOXOFFICIAL,2025-07-07T01:57:21Z,2025-07-07T01:57:21Z,,"Also Rename to Favourites or Subcriptions

<img width=""1193"" height=""331"" alt=""Image"" src=""https://github.com/user-attachments/assets/29c02c94-31c6-4deb-81b1-9a9abb5fec44"" />"
27,[Feature] Notifications not yet Implemented,open,enhancement,,K3NOXOFFICIAL,K3NOXOFFICIAL,K3NOXOFFICIAL,2025-07-07T01:56:16Z,2025-07-07T01:56:16Z,,"<img width=""981"" height=""310"" alt=""Image"" src=""https://github.com/user-attachments/assets/71d59527-8b6e-4214-9514-ea8ec2d3368f"" />"
26,[BUG] Messages & Notification Tab showing Mock data,open,"bug,help wanted",,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T01:55:08Z,2025-07-07T02:31:36Z,,"<img width=""235"" height=""281"" alt=""Image"" src=""https://github.com/user-attachments/assets/4d6cd12e-0efa-44e0-919c-6fb45c261143"" />"
25,[BUG] Profile Options don't Work,open,"bug,help wanted",,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T01:54:26Z,2025-07-07T02:31:21Z,,"<img width=""1658"" height=""319"" alt=""Image"" src=""https://github.com/user-attachments/assets/fa26d702-ce8b-48a4-b313-1aee4887b53e"" />"
24,[BUG] Notification Center doesn't Work,open,bug,,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T01:53:36Z,2025-07-07T01:53:36Z,,"<img width=""228"" height=""55"" alt=""Image"" src=""https://github.com/user-attachments/assets/bffadcb7-f75a-4082-bfbe-39f97bec9e56"" />"
23,[BUG] Dashboard Doesn't show real data,open,"bug,help wanted",,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T01:52:48Z,2025-07-07T01:52:48Z,,"Dashboard should't Show Mock data
<img width=""1558"" height=""589"" alt=""Image"" src=""https://github.com/user-attachments/assets/cb7d2612-61e8-4323-84ba-e1e8795fcba6"" />"
22,[BUG] Messages Not Working,open,"bug,help wanted",,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T01:51:57Z,2025-07-07T01:51:57Z,,"<img width=""1569"" height=""647"" alt=""Image"" src=""https://github.com/user-attachments/assets/25c580cb-7349-440d-a317-a99060c68717"" />"
21,[Feature] Settings need to be implemented,open,"enhancement,help wanted",,K3NOXOFFICIAL,K3NOXOFFICIAL,K3NOXOFFICIAL,2025-07-07T01:50:55Z,2025-07-07T02:31:43Z,,"<img width=""1570"" height=""638"" alt=""Image"" src=""https://github.com/user-attachments/assets/ed49635a-7639-4fb3-aaaa-434d6cb17a75"" />"
20,[BUG] Admin Pannel in API Folder,open,"bug,help wanted",,K3NOXOFFICIAL,K3NOXOFFICIAL,"Kokahontas13,K3NOXOFFICIAL",2025-07-07T01:50:21Z,2025-07-07T02:31:48Z,,
